"p16a","p16b","p18a","ly18b","ly13a","ly13b","ly16a","ly16b","ly18a","p18b","ly20","ly7"
"ENSMUSG00000000001.4",2256,3663,2677,2065,1863,3295,2763,3651,3418,2210,2582,4158
"ENSMUSG00000000003.15",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028.14",445,1056,1058,382,532,473,500,498,822,535,536,586
"ENSMUSG00000000031.15",163950,86792,66945,7461,13785,17704,29713,18498,9134,71500,13755,16081
"ENSMUSG00000000037.16",151,316,237,45,55,75,126,113,122,173,61,189
"ENSMUSG00000000049.11",1,0,2,0,0,1,0,0,2,1,1,0
"ENSMUSG00000000056.7",1449,2817,2179,1690,1730,1757,2328,2388,2402,1516,2784,3344
"ENSMUSG00000000058.6",132,283,196,16,26,68,28,25,17,178,16,39
"ENSMUSG00000000078.6",2367,3685,3058,764,1043,1183,1130,1451,1157,2373,1174,1108
"ENSMUSG00000000085.16",829,1024,898,575,630,850,941,1032,819,625,1183,1454
"ENSMUSG00000000088.6",1404,2312,253,584,680,385,729,2523,3862,2048,6269,8074
"ENSMUSG00000000093.6",223,96,77,423,373,271,902,413,506,94,739,611
"ENSMUSG00000000094.12",30,38,32,3,12,5,1,2,3,24,0,0
"ENSMUSG00000000103.12",2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120.6",284,282,131,259,480,482,916,603,539,165,725,943
"ENSMUSG00000000125.5",21,34,49,189,224,196,144,152,210,47,273,438
"ENSMUSG00000000126.11",103,59,48,76,73,63,148,43,51,51,87,84
"ENSMUSG00000000127.14",631,924,724,497,747,630,565,538,520,513,587,544
"ENSMUSG00000000131.15",1368,1528,1411,737,950,974,1237,1083,1199,1032,1625,1523
"ENSMUSG00000000134.17",978,637,501,447,437,371,907,503,648,460,1041,1054
"ENSMUSG00000000142.15",399,373,353,217,257,238,337,344,279,333,307,405
"ENSMUSG00000000148.17",259,477,242,92,156,197,211,215,233,259,191,304
"ENSMUSG00000000149.10",3092,1966,1837,1359,1501,1328,3455,1952,2008,1513,4307,2858
"ENSMUSG00000000154.16",49,72,89,54,51,81,56,65,61,58,42,84
"ENSMUSG00000000157.15",2,0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000000159.15",2,5,5,13,0,9,2,10,11,1,10,3
"ENSMUSG00000000167.14",64,160,130,215,282,163,207,254,363,94,188,287
"ENSMUSG00000000168.9",540,526,417,338,562,579,782,743,544,336,659,1003
"ENSMUSG00000000171.4",5254,9500,9401,6154,9681,7409,6648,8777,9587,5920,8230,11294
"ENSMUSG00000000182.9",0,0,0,0,0,0,2,0,0,0,0,3
"ENSMUSG00000000183.6",2,0,1,2,0,0,0,0,5,4,0,8
