"ly13a","ly13b","ly16a","ly16b","ly18a","ly18b","ly20","ly7"
"ENSMUSG00000000001.4",1863,3295,2763,3651,3418,2065,2582,4158
"ENSMUSG00000000003.15",0,0,0,0,0,0,0,0
"ENSMUSG00000000028.14",532,473,500,498,822,382,536,586
"ENSMUSG00000000031.15",13785,17704,29713,18498,9134,7461,13755,16081
"ENSMUSG00000000037.16",55,75,126,113,122,45,61,189
"ENSMUSG00000000049.11",0,1,0,0,2,0,1,0
"ENSMUSG00000000056.7",1730,1757,2328,2388,2402,1690,2784,3344
"ENSMUSG00000000058.6",26,68,28,25,17,16,16,39
"ENSMUSG00000000078.6",1043,1183,1130,1451,1157,764,1174,1108
"ENSMUSG00000000085.16",630,850,941,1032,819,575,1183,1454
"ENSMUSG00000000088.6",680,385,729,2523,3862,584,6269,8074
"ENSMUSG00000000093.6",373,271,902,413,506,423,739,611
"ENSMUSG00000000094.12",12,5,1,2,3,3,0,0
"ENSMUSG00000000103.12",0,0,0,0,0,0,0,0
"ENSMUSG00000000120.6",480,482,916,603,539,259,725,943
"ENSMUSG00000000125.5",224,196,144,152,210,189,273,438
"ENSMUSG00000000126.11",73,63,148,43,51,76,87,84
"ENSMUSG00000000127.14",747,630,565,538,520,497,587,544
"ENSMUSG00000000131.15",950,974,1237,1083,1199,737,1625,1523
"ENSMUSG00000000134.17",437,371,907,503,648,447,1041,1054
"ENSMUSG00000000142.15",257,238,337,344,279,217,307,405
"ENSMUSG00000000148.17",156,197,211,215,233,92,191,304
"ENSMUSG00000000149.10",1501,1328,3455,1952,2008,1359,4307,2858
"ENSMUSG00000000154.16",51,81,56,65,61,54,42,84
"ENSMUSG00000000157.15",0,0,0,0,2,0,0,0
"ENSMUSG00000000159.15",0,9,2,10,11,13,10,3
"ENSMUSG00000000167.14",282,163,207,254,363,215,188,287
"ENSMUSG00000000168.9",562,579,782,743,544,338,659,1003
"ENSMUSG00000000171.4",9681,7409,6648,8777,9587,6154,8230,11294
"ENSMUSG00000000182.9",0,0,2,0,0,0,0,3
"ENSMUSG00000000183.6",0,0,0,0,5,2,0,8
"ENSMUSG00000000184.12",3997,5226,3532,3906,2407,1738,2227,3279
"ENSMUSG00000000194.13",314,438,373,324,341,215,317,351
"ENSMUSG00000000197.7",63,108,158,101,106,65,124,148
"ENSMUSG00000000202.9",47,28,67,48,59,47,41,68
"ENSMUSG00000000204.15",9,12,7,9,6,8,5,14
"ENSMUSG00000000214.11",27,25,18,8,35,8,19,27
"ENSMUSG00000000215.11",0,1,0,2,0,0,0,0
"ENSMUSG00000000216.8",0,3,0,2,12,9,5,0
"ENSMUSG00000000223.13",179,234,243,189,128,102,219,273
"ENSMUSG00000000244.17",29,64,25,15,18,25,12,36
"ENSMUSG00000000247.11",4,6,4,21,17,22,10,9
"ENSMUSG00000000248.16",2,0,4,2,4,2,1,6
"ENSMUSG00000000253.12",121,133,112,166,220,107,185,251
"ENSMUSG00000000263.15",0,0,0,0,0,0,0,0
"ENSMUSG00000000266.11",87,118,204,159,113,53,123,174
"ENSMUSG00000000275.16",104,114,129,62,94,42,131,82
"ENSMUSG00000000276.11",72,58,138,83,115,59,68,109
"ENSMUSG00000000278.10",505,428,372,457,582,254,450,503
"ENSMUSG00000000282.12",417,318,588,432,460,357,760,587
"ENSMUSG00000000290.13",7,1,0,0,0,0,0,0
"ENSMUSG00000000295.12",4242,2590,2933,3313,3876,2838,3366,3611
"ENSMUSG00000000296.7",1367,1261,923,1355,1408,901,948,1546
"ENSMUSG00000000301.16",110,77,83,107,130,84,77,181
"ENSMUSG00000000303.12",204,271,368,257,366,214,329,460
"ENSMUSG00000000305.12",1405,1809,2074,2050,2324,1305,2284,3158
"ENSMUSG00000000308.14",3238,1852,2176,2227,2261,1714,2300,2968
"ENSMUSG00000000317.11",18,50,34,39,13,9,24,22
"ENSMUSG00000000318.16",9,2,4,4,0,0,0,2
"ENSMUSG00000000320.10",7,8,6,12,7,1,7,5
"ENSMUSG00000000325.15",792,616,1379,822,1017,612,1400,1270
"ENSMUSG00000000326.12",967,672,989,760,939,605,979,1071
"ENSMUSG00000000339.14",360,663,863,1177,1255,486,1013,1496
"ENSMUSG00000000340.10",394,390,536,508,482,368,459,626
"ENSMUSG00000000346.8",8986,9608,5274,12081,15111,7858,9490,15680
"ENSMUSG00000000355.13",3777,2509,2665,3315,2862,2614,2276,2950
"ENSMUSG00000000359.3",7,24,23,40,15,6,15,37
"ENSMUSG00000000365.8",11,7,22,11,24,9,17,31
"ENSMUSG00000000374.7",314,296,681,359,279,297,502,564
"ENSMUSG00000000378.15",592,538,1366,1034,964,579,1238,1220
"ENSMUSG00000000381.10",0,0,0,0,0,0,0,0
"ENSMUSG00000000384.15",373,472,539,512,587,280,562,779
"ENSMUSG00000000385.7",34,76,79,68,116,28,60,90
"ENSMUSG00000000386.14",8,17,58,21,20,16,25,27
"ENSMUSG00000000392.17",62,53,18,39,24,13,2,36
"ENSMUSG00000000394.15",0,2,0,8,0,7,1,1
"ENSMUSG00000000399.10",5397,4219,3649,4549,5297,3269,4448,5198
"ENSMUSG00000000402.2",91,110,27,72,43,44,49,67
